Date,Seminar Number,Content
2019-04-01,1,"Introduction, thinking about learning"
2019-04-08,2,"Mindset, self-efficacy"
2019-04-15,3,"Criticism, feedback"
2019-04-22,4,Emotional intelligence
2019-04-29,5,Climate
2019-05-06,6,"Universal Design for Learning, intersectionality"
2019-05-13,7,"Teaching assistant purpose, guidelines, responsibilities"
2019-05-20,8,Faculty presentation on educational tools
2019-05-27,HOLIDAY,MEMORIAL DAY
2019-06-03,10,Wrap-up
